tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.2,67.0,1599,0
1,56.8,52.3,1247,1599
2,63.8,39.3,938,2846
3,70.2,30.1,717,3784
4,73.8,25.0,597,4501
5,77.6,20.9,499,5098
6,80.2,18.2,434,5597
7,82.5,15.1,361,6031
8,84.0,13.5,323,6392
9,85.3,12.6,301,6715
10,86.3,11.3,270,7016
11,86.7,11.2,267,7286
12,87.7,10.5,251,7553
13,87.7,10.4,249,7804
14,88.7,9.0,214,8053
15,88.8,9.3,221,8267
16,89.1,9.4,223,8488
17,89.6,8.8,210,8711
18,89.5,9.0,214,8921
19,90.0,8.8,209,9135
20,90.0,8.4,201,9344
21,90.7,8.2,196,9545
22,91.0,7.7,184,9741
23,91.2,7.1,170,9925
24,91.4,7.1,169,10095
25,91.5,6.8,162,10264
26,91.9,6.7,160,10426
27,91.9,6.7,159,10586
28,92.4,5.9,140,10745
29,92.6,5.7,136,10885
30,92.5,6.1,145,11021
31,92.5,5.9,140,11166
32,92.8,6.2,148,11306
33,92.8,6.1,145,11454
34,92.7,6.0,144,11599
35,92.8,5.9,141,11743
36,92.9,5.8,138,11884
37,93.2,5.8,138,12022
38,93.1,5.4,128,12160
39,93.3,5.6,133,12288
40,93.0,5.6,133,12421
41,93.6,5.2,125,12554
42,93.5,5.5,130,12679
43,93.5,5.2,124,12809
44,93.5,5.2,123,12933
45,93.6,5.0,120,13056
46,93.8,4.9,118,13176
47,93.9,5.0,119,13294
48,93.8,4.9,118,13413
49,93.9,4.7,111,13531
50,94.0,5.2,123,13642
51,93.9,5.0,119,13765
52,94.0,4.9,116,13884
53,94.1,4.8,114,14000
54,94.3,4.5,107,14114
55,94.3,4.7,112,14221
56,94.2,4.8,115,14333
57,94.3,4.5,108,14448
58,94.1,4.6,109,14556
59,94.1,4.7,112,14665
60,94.3,4.7,111,14777
61,94.2,4.6,110,14888
62,94.3,4.7,112,14998
63,94.3,4.6,109,15110
64,94.3,4.6,109,15219
65,94.4,4.4,105,15328
66,94.5,4.4,104,15433
67,94.7,4.4,104,15537
68,94.5,4.3,102,15641
69,94.5,4.4,106,15743
70,94.6,4.2,100,15849
71,94.7,4.1,97,15949
72,94.7,4.4,106,16046
73,94.6,4.3,102,16152
74,94.8,3.9,94,16254
75,94.8,3.9,93,16348
76,95.0,3.8,91,16441
77,95.0,4.0,95,16532
78,94.9,4.0,95,16627
79,94.8,3.9,94,16722
80,94.9,3.7,89,16816
81,95.1,3.7,89,16905
82,95.0,3.9,92,16994
83,95.0,4.0,95,17086
84,95.0,4.0,95,17181
85,95.0,3.8,90,17276
86,95.1,3.7,89,17366
87,95.0,3.8,90,17455
88,94.9,3.7,89,17545
89,95.1,3.9,93,17634
90,95.1,4.1,97,17727
91,95.0,4.0,96,17824
92,94.8,3.9,94,17920
93,95.2,3.9,93,18014
94,95.2,3.6,85,18107
95,95.2,3.6,85,18192
96,95.3,3.7,88,18277
97,95.2,3.9,93,18365
98,95.3,3.7,89,18458
99,95.1,4.0,96,18547
