tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,49.2,84.8,2004,0
1,53.6,73.7,1740,2004
2,56.2,69.3,1637,3744
3,57.1,66.3,1566,5381
4,59.8,60.9,1439,6947
5,61.7,56.9,1343,8386
6,64.1,52.5,1241,9729
7,65.7,49.2,1163,10970
8,67.8,46.4,1097,12133
9,69.1,43.6,1031,13230
10,68.8,43.4,1025,14261
11,71.1,40.5,957,15286
12,71.7,38.7,913,16243
13,73.6,35.5,838,17156
14,75.2,34.1,806,17994
15,76.7,30.5,721,18800
16,76.7,30.5,721,19521
17,78.7,27.4,647,20242
18,79.8,26.2,620,20889
19,81.6,23.5,556,21509
20,82.2,22.4,529,22065
21,83.6,20.1,474,22594
22,85.1,18.0,425,23068
23,86.2,16.6,393,23493
24,86.8,15.5,365,23886
25,87.4,14.1,333,24251
26,88.9,12.8,303,24584
27,89.5,12.7,299,24887
28,90.0,11.4,269,25186
29,90.3,11.4,270,25455
30,90.5,11.0,261,25725
31,90.8,10.4,245,25986
32,91.5,9.7,230,26231
33,91.8,9.7,228,26461
34,91.6,9.8,232,26689
35,92.0,9.4,222,26921
36,91.7,9.4,221,27143
37,91.9,9.7,228,27364
38,92.3,9.0,212,27592
39,92.4,9.2,217,27804
40,92.3,8.8,208,28021
41,92.5,8.2,193,28229
42,92.8,8.3,195,28422
43,92.9,8.0,190,28617
44,93.0,7.7,183,28807
45,93.7,7.1,167,28990
46,93.6,6.7,158,29157
47,93.9,6.5,153,29315
48,94.3,6.4,151,29468
49,94.3,6.4,150,29619
50,94.6,6.1,143,29769
51,94.8,6.1,143,29912
52,94.6,6.2,146,30055
53,94.8,6.0,141,30201
54,95.2,5.7,134,30342
55,95.4,5.1,121,30476
56,95.3,5.3,126,30597
57,94.9,5.6,133,30723
58,95.2,5.5,131,30856
59,95.0,5.2,124,30987
60,95.6,4.8,113,31111
61,95.9,4.5,106,31224
62,95.9,4.1,97,31330
63,96.2,4.4,105,31427
64,96.2,4.1,96,31532
65,96.2,4.3,102,31628
66,96.2,4.0,94,31730
67,96.2,4.1,96,31824
68,96.3,3.9,91,31920
69,96.5,3.5,83,32011
70,96.4,3.5,83,32094
71,96.6,3.6,85,32177
72,96.2,4.3,102,32262
73,96.2,4.4,104,32364
74,96.2,4.1,96,32468
75,96.5,3.9,93,32564
76,96.4,3.9,93,32657
77,96.5,3.8,89,32750
78,96.8,3.7,87,32839
79,96.5,3.8,89,32926
80,96.2,3.8,89,33015
81,96.4,3.9,93,33104
82,96.3,4.3,101,33197
83,96.2,4.4,104,33298
84,96.1,4.2,99,33402
85,96.3,4.1,98,33501
86,96.4,3.9,93,33599
87,96.6,3.5,83,33692
88,96.6,3.6,84,33775
89,97.0,3.4,80,33859
90,97.3,3.3,79,33939
91,97.1,3.0,72,34018
92,96.8,3.6,85,34090
93,97.0,3.6,85,34175
94,96.6,3.7,87,34260
95,96.5,3.7,87,34347
96,96.9,3.3,79,34434
97,97.0,3.3,78,34513
98,96.9,3.4,80,34591
99,97.2,3.2,75,34671
