tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.3,83.3,1975,0
1,54.5,73.1,1734,1975
2,55.9,68.8,1633,3709
3,57.5,65.7,1559,5342
4,59.1,62.6,1484,6901
5,62.0,57.7,1369,8385
6,62.9,55.4,1314,9754
7,64.0,53.4,1266,11068
8,66.0,49.2,1166,12334
9,67.3,46.2,1096,13500
10,70.1,41.9,994,14596
11,73.0,37.1,881,15590
12,74.5,34.1,809,16471
13,75.4,33.9,803,17280
14,76.0,31.0,735,18083
15,77.2,29.5,700,18818
16,78.8,27.5,653,19518
17,79.4,26.3,623,20171
18,81.3,23.9,566,20794
19,81.4,24.0,569,21360
20,82.2,22.5,534,21929
21,83.1,21.6,512,22463
22,83.9,20.0,474,22975
23,84.6,19.2,455,23449
24,84.9,18.2,432,23904
25,86.1,17.3,410,24336
26,86.6,16.7,396,24746
27,86.9,15.7,373,25142
28,87.8,14.7,349,25515
29,88.2,14.8,352,25864
30,88.4,14.0,331,26216
31,88.7,13.6,322,26547
32,88.7,13.6,322,26869
33,89.0,13.3,315,27191
34,89.7,12.6,300,27506
35,89.6,12.9,305,27806
36,89.4,13.3,315,28111
37,89.8,11.8,279,28426
38,90.6,11.2,266,28705
39,90.4,11.8,280,28971
40,90.2,11.6,275,29251
41,90.8,11.0,260,29526
42,90.9,10.6,252,29786
43,91.1,10.6,252,30038
44,91.2,10.3,244,30290
45,91.2,10.4,246,30534
46,91.2,10.4,247,30780
47,90.9,10.2,242,31027
48,91.6,9.8,232,31269
49,91.3,10.0,238,31501
50,91.8,9.6,228,31739
51,92.0,9.4,223,31967
52,91.7,9.6,228,32190
53,92.3,9.0,213,32418
54,92.0,9.3,221,32631
55,92.1,9.2,219,32852
56,92.2,9.2,218,33071
57,92.7,8.5,202,33289
58,92.7,8.3,197,33491
59,92.5,8.9,210,33688
60,92.8,8.6,205,33898
61,92.5,8.2,195,34103
62,92.8,8.5,202,34298
63,92.9,8.3,197,34500
64,92.7,8.6,205,34697
65,92.6,8.6,203,34902
66,93.0,8.5,201,35105
67,92.3,8.7,207,35306
68,92.8,8.3,196,35513
69,92.4,8.4,199,35709
70,93.1,7.9,188,35908
71,93.4,7.8,186,36096
72,92.8,8.3,198,36282
73,92.6,8.4,199,36480
74,92.7,8.1,192,36679
75,92.9,8.1,192,36871
76,93.3,7.8,185,37063
77,93.2,7.6,181,37248
78,93.0,8.2,194,37429
79,93.0,8.1,191,37623
80,93.3,8.1,191,37814
81,93.0,8.1,191,38005
82,93.4,8.0,189,38196
83,93.4,7.3,173,38385
84,93.0,7.6,181,38558
85,93.3,8.0,190,38739
86,93.0,8.3,196,38929
87,93.1,8.3,196,39125
88,93.1,8.2,195,39321
89,93.3,8.0,189,39516
90,93.2,8.0,189,39705
91,93.3,7.4,176,39894
92,93.4,7.3,173,40070
93,93.3,7.0,167,40243
94,94.0,7.0,166,40410
95,93.6,7.1,169,40576
96,93.8,7.0,165,40745
97,93.7,7.5,177,40910
98,93.5,7.9,187,41087
99,93.7,7.3,174,41274
100,93.3,7.7,183,41448
