tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.2,67.8,1617,0
1,56.4,52.5,1251,1617
2,62.9,40.3,961,2868
3,68.4,32.0,762,3829
4,73.6,25.9,617,4591
5,76.8,21.9,521,5208
6,79.9,18.0,428,5729
7,82.0,16.7,397,6157
8,83.5,15.1,359,6554
9,85.3,13.2,314,6913
10,86.2,11.9,283,7227
11,86.9,11.5,274,7510
12,87.4,10.7,254,7784
13,87.7,10.6,252,8038
14,88.0,10.0,238,8290
15,88.9,9.0,214,8528
16,89.2,8.8,209,8742
17,89.6,8.1,194,8951
18,90.1,8.4,200,9145
19,90.3,8.1,192,9345
20,90.4,7.6,181,9537
21,90.8,7.0,167,9718
22,91.0,7.5,179,9885
23,91.0,7.7,183,10064
24,91.2,7.2,172,10247
25,91.3,7.2,171,10419
26,91.5,7.2,172,10590
27,91.6,7.3,173,10762
28,91.7,6.7,159,10935
29,91.9,6.7,160,11094
30,92.1,6.4,152,11254
31,92.4,6.2,147,11406
32,92.5,5.6,134,11553
33,92.6,5.7,136,11687
34,92.7,5.7,136,11823
35,92.7,5.7,135,11959
36,93.1,5.5,131,12094
37,93.3,5.3,127,12225
38,93.6,4.9,117,12352
39,93.6,5.1,122,12469
40,93.5,4.7,112,12591
41,93.7,5.0,120,12703
42,93.7,5.1,122,12823
43,93.4,5.2,123,12945
44,93.5,5.1,121,13068
45,93.9,4.6,109,13189
46,93.8,4.9,118,13298
47,93.7,4.9,116,13416
48,93.7,5.4,129,13532
49,93.6,5.2,125,13661
50,93.7,5.2,123,13786
51,93.8,4.7,113,13909
52,94.0,4.6,110,14022
53,93.9,4.6,109,14132
54,94.1,4.4,104,14241
55,94.2,4.6,109,14345
56,94.0,4.7,111,14454
57,94.0,4.6,109,14565
58,94.1,4.4,105,14674
59,94.1,4.4,104,14779
60,94.0,4.5,108,14883
61,94.2,4.6,109,14991
62,94.1,4.7,112,15100
63,94.2,4.4,106,15212
64,94.4,4.4,104,15318
65,94.3,4.4,105,15422
66,94.4,4.2,100,15527
67,94.5,4.4,105,15627
68,94.3,4.3,102,15732
69,94.4,4.3,102,15834
70,94.4,4.3,103,15936
71,94.6,4.1,97,16039
72,94.6,3.9,93,16136
73,94.7,3.9,94,16229
74,94.7,4.1,97,16323
75,94.6,4.3,102,16420
76,94.7,4.0,96,16522
77,94.6,4.0,95,16618
78,94.8,4.0,95,16713
79,94.7,3.8,91,16808
80,94.7,4.0,96,16899
81,94.7,4.1,98,16995
82,94.8,3.7,89,17093
83,94.9,3.7,88,17182
84,95.0,3.7,89,17270
85,94.9,3.6,85,17359
86,95.1,3.8,90,17444
87,95.0,3.6,86,17534
88,94.9,3.6,85,17620
89,95.0,3.6,87,17705
90,95.0,3.8,91,17792
91,95.0,3.6,87,17883
92,95.0,3.6,87,17970
93,95.1,3.6,86,18057
94,94.9,3.8,91,18143
95,95.1,3.5,83,18234
96,95.1,3.5,84,18317
97,95.2,3.6,85,18401
98,95.2,3.4,80,18486
99,95.2,3.6,86,18566
100,95.3,3.2,76,18652
